Aika,Hinta_snt_per_kWh,Keskituulen_nopeus_m_per_s,Lampotilan_keskiarvo_C,Kulutus_kWh_per_h,Tuotanto_kW,is_holiday
2024-10-25 00:00:00,0.266,3.3,8.5,8246533.333333333,8579923.333333334,0
2024-10-25 01:00:00,0.251,2.9,8.6,8215300.0,8813567.5,0
2024-10-25 02:00:00,0.264,2.8,8.5,8323800.0,9178292.5,0
2024-10-25 03:00:00,0.635,2.3,9.1,8826975.0,9621462.5,0
2024-10-25 04:00:00,2.769,2.7,9.7,9453150.0,10073500.0,0
2024-10-25 05:00:00,3.931,3.3,10.1,9726725.0,10207625.0,0
2024-10-25 06:00:00,5.041,3.6,10.3,9771275.0,10221250.0,0
2024-10-25 07:00:00,4.331,3.5,10.0,9750175.0,10174750.0,0
2024-10-25 08:00:00,3.975,3.3,10.7,9739075.0,10086450.0,0
2024-10-25 09:00:00,3.637,3.8,11.3,9738150.0,10036025.0,0
2024-10-25 10:00:00,3.453,4.0,12.2,9671700.0,10054600.0,0
2024-10-25 11:00:00,3.176,3.9,12.2,9591750.0,10141625.0,0
2024-10-25 12:00:00,3.007,6.1,12.2,9569200.0,10315625.0,0
2024-10-25 13:00:00,2.874,6.5,12.0,9561750.0,10581750.0,0
2024-10-25 14:00:00,3.252,7.2,11.6,9568825.0,10863350.0,0
2024-10-25 15:00:00,3.012,7.1,11.2,9706600.0,10975525.0,0
2024-10-25 16:00:00,0.414,7.6,10.9,9886975.0,11020950.0,0
2024-10-25 17:00:00,0.385,7.5,10.7,9811250.0,10965175.0,0
2024-10-25 18:00:00,0.363,7.1,10.5,9464925.0,10718450.0,0
2024-10-25 19:00:00,0.369,6.8,10.5,9280150.0,10422575.0,0
2024-10-25 20:00:00,0.383,6.7,10.6,9131325.0,10065387.5,0
2024-10-25 21:00:00,0.379,6.3,10.7,8724075.0,9913460.0,0
